text,org_norp,org_loc
"This review is on the Korean BBQ part of Tofu Hut where you get to cook your own meats and eat them.\n - Minimum 2 - To get the AYCE, you have to have at least 2 people getting",Tofu Hut is a Korean restaurant,
"Diamond Bakery, located in the Chinatown plaza, is my favorite asian bakery in town.",Diamond Bakery is an asian bakery,Diamond Bakery is in Chinatown
"The Fiesta is home to a stagnant, stale scent of cigarettes, a buffet (which may be the grossest place you'll ever eat in your life), a Denny's, Club Tequila, a Mexican restaurant, and an ice skating rink.\n\nPart of Station Casinos, this place must be the blacksheep of their properties.",Club Tequila is a Mexican restaurant,Denny's and Club Tequila are at The Fiesta
"And, to add to the loss, the closure of the former Big Dog's Brewery location on Sahara brought with it the untimely passing of one of the best French Onion Soups served in the valley.",,Big Dog's Brewery is in the valley
"Cardamom\nPasta Frola - Quince Pie\n\nLocated in the same Spring Mountain plaza as Cathay House and featuring signage indicating both their Argentinean roots and Italian influences, Rincon de Buenos Aires is the sort of spot that one could easily overlook in an area so heavy in Asian influence, but with strong endorsement from an out-of-town friend and another from Chowhound I finally decided to visit the sizeable space on Saturday with results more than exceeding modest expectations.",Rincon de Buenos Aires is an Argentinean and Italian restaurant,Cathay House and Rincon de Buenos Aires are in Spring Mountain plaza
"While this isn't a Taco Bell, and definitely is place more off-the-beaten path than your average Americanized Mexican eatery, they speak better English than a lot of places you might find.\n\nInteresting because of their locale - in this section of Central, you're just as likely (if not more so) to find a place that doesn't speak any English at all - for instance, the Casa de las Enchiladas right down the block.\n\nIn any case, the food is decent, but I didn't find it all that great.",Casa de las Enchiladas is a Mexican restaurant,Casa de las Enchiladas is in Central
"When I'm asked where a good Italian restraunt in Charlotte is - I immediately say \""Portofino's on Park Road.\""",Portofino's is an Italian restaurant,Portofino's is on Park Road
"Sure we've got like 3-4 Asian food stores and even one that is family owned like Oriental Shop, but there are definitely Japanese items I can't find -- even at Pacific Produce.",Oriental Shop is an Asian food store,
"Asian Midway Foods may not look like much, but it offers a wide selection of Asian groceries, especially for a grocery store in the Midwest.",Asian Midway Foods is an Asian grocery store,Asian Midway Foods is in the Midwest
"After the VYE at Desert Mission Food Bank, many of the Yelpers stuck around to grab brunch someplace in Sunnyslope.",,Desert Mision Food Bank is in Sunny Slope
"Malee's has a lot of charm and is located in Old Town Scottsdale, but beyond that, I found it pretty lacking in the great flavor that defines a good Thai",Malee's is a Thai restaurant,Malee's is in Old Town Scottsdale
"It would be difficult for any of us who haven't been to Ethiopia or have experience with a variety of Ethiopian cafes (maybe if you're from DC you could qualify) to be a stringent critic on the quality of Lalibela, but what I DO know is what tastes stunning regardless of a specific palate for niche-ethnic-food.",Lalibela is an Ethiopian restaurant,
I've been to Irish pubs all over the Valley and Rula's Pub is the best.,Rula's Pub is an Irish Pub,Rula's Pub is in the Valley
"If you are looking for a quick Chinese sit down or to go lunch at a good price in the NW valley, Golden Star is a good place to stop in.",Golden Star is a Chinese restaurant,Golden Star is in the NW valley
Gold Coast caters to the Chinese with PingPangPong and the Noodle exchange along with the bacarrat,Gold Coast is a Chinese restaurant,
is just the most delicious perfect morsel of meat I have ever eaten (the only other place is Mad Greek Cafe on Sahara and Durango),,Mad Greek Caf_ is on Sahara and Durango
House of Curries is our favorite Indian food in Las Vegas - near the Strip and UNLV campus.,House of Curries is an Indian restaurant,House of Curries is in Las Vegas
"At about $13, India Palace will cost you that extra dollar or two over Mint (which is more Nepalese, if I'm not mistaken).",Mint is a Nepalese restaurant,
"you're a newbie to Indian cuisine, the fare at India Palace provides a good primer to classic Indian restaurant fare, but for a seasoned veteran, my top choices in town would still be Mt. Everest and Delhi Cuisine.","Mt. Everest, Delhi Cuisine, and India Palace are Indian restaurant",
"all I would say that if you are in Las Vegas and have a hunger for Mexican food, grab cab and head over to the the Mandalay Bay and get yourself a table at the Border Grill",Border Grill is a Mexican restaurant,Border Grill is in Las Vegas
"Living on the East Coast does take a toll on the Local when it comes to food, and I knew that one of my biggest priorities when visiting Vegas was to find good Hawaiian grinds.\n\nI found Aloha Kitchen on a random google search.",Aloha Kitchen is a Hawaiian restaurant,Aloha Kitchen is in Vegas
"I have eaten at many Thai restaurants in Southern California, New York, and Las Vegas, and can definitely say Lotus of Siam beats even the top rated places in those cities.",Lotus of Siam is a Thai restaurant,
"Somewhere I have heard Lotus of Siam touted as the best Thai restaurant in North America.\n\nAs audacious a statement as this is, I don't think it's too far from the truth.",Lotus of Siam is a Thai restaurant,Lotus of Siam is in North America
Lotus is one of my favorite Thai eateries in the Valley.,Lotus is a Thai restaurant,Lotus is in the Valley
"A solid B, but not something I would consider as \""the best Thai in North America.\"" I love Jonathan Gold (the food writer for the LA Times) to pieces and his reviews are usually spot on, but I have to say that I would never go out of the way to go back to Lotus of Siam because I have had such good Thai all over the country (especially in Southern California and in New York City).",Lotus of Siam is a Thai restaurant,Lotus of Siam is in North America
"Positively ravenous, we decided to go to the infamous Burger Bar located on the hotel property.\n\nIt worked out perfectly that the restaurant was located in the Mandalay Place mall midway between Mandalay Bay and Luxor",,Burger Bar is in Mandalay Place mall
"\n\nI have had the pad thai and java fried rice from Spice Island, and both are just OK and forgettable.",Spice Island is a Thai restaurant,
"Lots of dining options - Emerils, Wolfgang Puck, decent Asian food at the Grand Wok, and lots more (2 Starbucks, McDonald's, fancy fare,",Grand Wok is an Asian restaurant,
Stay away from the American Rockhouse!\nBuy your guitar drinks at Cabo Wabo in Planet Hollywood.,,Cabo Wabo is in Planet Hollywood
"I could go on about how it's conveniently connected to Mandalay Bay's incredible and very long restaurant strip, or how Luxor's Mexican restaurant up on their 2nd floor atrium is amazing in its cuisine and drink, which it most definitely was (Tacos & Tequila I think?).",Luxor's is a Mexican restaurant,
"I am a tremendous fan of Bouchon Bakery, I've been to the one in Yountville, Columbus Circle and the one at the Venetian and all three are fantastic.",,Bouchon Bakery is in Yontvill and at the Venetian
I used to make fun of American tourists eating at McDonald's in Europe.,McDonalds is an American restaurant,McDonald's is in Europe
Never again.\n\nAll in all El Encanto is a good enough place to go when in Cave Creek and in need of some americanized Mexican food.,El Encanto is a Mexican restaurant,El Encanto is in Cave Creek
"The other buffet I tried was at Todai in Planet Hollywood which was also a good place, but Todai was an in-house buffet while Le Village has a unique atmosphere which resembles, well, a cute little French village right inside the Paris hotel.",Le Village is a French restaurant,"Todai is in Planet Hollywood, Le Village is in the Paris hotel"
"Oh, just the $13-20 prices for a plate of quality Chinese food you can purchase at any local Chinatown for $5-7.\n\nBut when in Vegas / on vacation.... go to Noodle Asia to sober yourself up after TAO.",Noodle Asia is a Chinese restaurant,Noodle Asia is in Chinatown in Vegas
"So much to our delight, Paul's Vegas birthday dinner would be held at Fleur restaurant in Mandalay Bay, Hubert Keller's (Top Chef Master-du-jour) most recent epicurean establishment specializing in modern global tapas with a hint of traditional French flair.",Fleur is a French restaurant,Fleur is in Mandalay Bay
#NAME?,Baiz Market is a Middle Eastern restaurant,Baiz Market is in the Valley
[Indian Paradise on N Hayden in Scottsdale is the other].,,Indian Paradise is on N Hayden in Scottsdale
Popo's is as good as it gets for Mexican food here in the west valley.,Popo's is a Mexican restaurant,Popo's is in the west valley
"The lobby was hot, with vaulted wood-planked ceilings, candles, beds, and cool Buddha Bar music; reminiscent of Nikki Beach/Delano in South Beach, with a faux Southwestern twist.",,
If you want a real mexican place try the Original Lindo Michoacan in East Side.,Original Lindo Michoacan is a mexican place,Original Lindo Michoacan is in the East Side
Haus Murphy is the only authentic German bar/restaurant in the west valley.,Haus Murphy is a German bar/restaurant,Haus Murphy is in the West Valley
"For the best Philly cheese steak sandwich this side of the Mississippi (in the Phoenix area anyway), PSC is the place to go.",,PSC is in Phoenix
"Competent. To be fair, in my experience I've never really had a tasting menu that I would call American without pronounced flourishes of French or Mediterranean - the Chef's table at Eleven was almost like going to CUT or a similar high end steak house and getting a tasting...",Eleven is an American restaurant,
Go to Greek Isles and get lost in this Mediterranean sea of palatable goodies.\n\nAnt\u00edo sas!,Greek Isles is a Mediterranean restaurant,
"Despite the multiple visit to AAP, this was the first time I've been to the Greek Isles restaurant right nearby.",,Greek Isles is near AAP
"Central Phoenix noticeably lacks Italian restaurants (if you're not counting Oregano's and pizza places), and Harley's Italian Bistro is in a great gentrifying stretch of 7th Ave (Melrose on 7th) to really impress as a neighborhood Italian joint, but it falls a bit short.\n\nI made my second venture here the other night for dinner.",Harley's Italian Bistro is an Italian restaurant,Harley's Italian Bistro is in Phoenix
"Now, I know I'm spoiled because I've had some of the greatest Italian on earth, but Harley's is certainly a competitor.",Harley's is an Italian restaurant,
Samba Brazilian Steakhouse is like the Brazilian Steakhouses I've been to Long Beach and Bay Area.,Samba Brazillian Steakhouse is a Brazillian Steakhouse,
You can get better at Wendy's Asian restaurant on Spring Mountain and Jones!,Wendy's is an Asian restaurant,Wendy's is in Long Beach and the Bay Area
"My wife said that it is the best duck she's ever had which truly high praise because she's had duck at Per Se, French Laundry, and just about every other high end french restaurant.",Per Se and French Laundry are french restaurants,
"By far, The Pink Pepper is the best Thai food in the East Valley.",The Pink Pepper is a Thai restaurant,The Pink Pepper is in the East Valley
I'm so familiar with Capital Seafood in Southern California that I of course chose Chinese and ordered without ever looking at the menu.,Capital Seafood is a chinese restaurant,Capital Seafood is in Southern California
Pampas is a Brazilian steak house located on the South side of Planet Hollywood.,Pampas is a Brazillian steak house,Pampas is on the South side of Planet Hollywood
"Since La Collina on the Hill is now a Mexican restaurant,my husband and I decided to give Ventano's another shot.",La Collina is a Mexican restaurant,La Collina is on the Hill
Taiko has to be one of the best Japanese places I have been in the valley.,Taiko is a Japanese place,Taiko is in the valley
So it is with Nick's Italian in Paradise Valley (there are two more locations in the Valley).,Nick's is an Italian restaurant,Nick's is in Paradise Valley
"Bottom line: if a gutful of Asian food is the plan, China Olive certainly gets the job done -- just don't expect a lot of differentiation in what you shove down your gulet.",China Olive serves Asian food,
"I'm hesitant to review Nee House because I pretty much just don't want anyone else to know about it, but this place is the best for Chinese food in the Valley and that alone is something every decent citizen deserves to know.\n\nYes, the service isn't the greatest, but some advice to diners going out expecting a thorough, smiley staff: Don't go to a Chinese restaurant.",Nee House is a Chinese restaurant,Nee House is in the Valley
"and I admit, I'm being picky) is because they do not have a dish I've been looking for in the entire Phoenix metro-area, but admittedly the Nee House does not focus on Sichuan-style dishes (the dish i'm looking for is Sichuan Spicy Cold Chicken Noodles, which i fell in love with while living in the Bay area, but which is impossible to find in the Phoenix-metro area).\n\nIf you want authentic, delicious, Chinese food, make sure you give the Nee House a try.",Nee House is a Chinese restaurant,
"All the other \""Thai\"" food joints in town should take a cue from the quality Thai House serves up on a daily basis (except Sundays, which I found out the hard way).",Thai House is a Thai restaurant,
"Asian Cafe Express shares the same Chinese name as the Cafe de Coral in Hong Kong, and boasts itself as \""Arizona's 1st Hong Kong style cafe serving authentic Chinese, Southeast Asia & Western influenced dishes",Asian Caf_ Express and Caf_ de Coral are Chinese restaurants,"Asian Caf_ Express is in Arizona, Caf_ de Coral is in Hong Kong"
"There are much better Chinese food options around Scottsdale such as Ling & Louies or Asian Island to name a couple.\n\nOh well, let the lemmings keep coming back for more, they just don't know any better.",Ling & Louies and Asian Isand are Chinese restaurants,Ling & Louies and Asian Island are in Scottsdale
"However, if you like reliable, consistent Chinese food, and like Panda Express, this is going to be a predictable experience that won't wow nor disappoint you, just deliver what you come to expect.\n\nIt's a good clean spot, with nice service, so no knock on Panda Express at all.",Panda Express is a Chinese restaurant,
Canyon Ranch has spa locations throughout many warm weather locations from Miami to Arizona and this LV version maybe among the most decked out of them all.,,Canyon Ranch is in Miami and Arizona
"For Las Vegas residents looking for Chinese food, go to Spring Mountain!",Spring Mountain is a Chinese restaurant,Spring Mountain is in Las Vegas
Most people go to The Gun Store off East Tropicana because it is widely advertised but this is a good one that I put up there with American Shooter off of Spring Mountain & Arville.,,"The Gun Store is off East Tropicana, American Shooter is off of Spring Mountain & Arville"
"and I eat a lot of Thai food, and we usually opt for Thai Place or Bangkok Balcony (or, recently, Kanok).","Thai Place, Bangkok Balcony, and Kanok are Thai restaurants",
"Just to the East of the awesome King Tut's Cafe, Chino's is the number one late night drunken Mexican food place in Tempe.",Chino's is a Mexican food place,Chino's is in Tempe
"Remedy's is a cozy little local bar on St. Rose with leather chairs, couches, booths and a bar.",,Remedy's is on St. Rose
"My overall impression: Thai Hut's food isn't as complex or high-quality as the food at Swaddee or Thai Lahna and the atmosphere certainly isn't as fun and upscale as that at Wild Thaiger or Malee's, but it is solid Thai food that won't disappoint if you're having a craving.","Thai Hut, Swadee, Thai Lahna, Wild Thaiger, or Malee's are Thai restaurants",
"I haven't done too much looking on the Scottsdale side, admittedly (since it's a little too far from Surprise), or in fact anywhere else except for the West Side, but I have been to Maharaja Palace and Sutra and you just get more variety here.",,Maharaja Palace and Sutra are in Scottsdale
again!\nThis and Tandoori Times 2 are super good Indian cuisine in this area.\nI was a little skeptical when my boyfriend and I were seated.,Tandoori Times 2 is an Indian restaurant,
"The sister property of the Venetian, the Palazzo is one of our favorite places to go when we decide to go to the Strip.",,The Palazzo and the Venetian are on the Strip
"Also, Palazzo is connected to The Venetian and is in the central main area of the Strip.",,The Palazzo and the Venetian are on the Strip
"\n\nAnyway, back to King's: I almost always order any of the following when I'm in town --\n\nAPP: Ceviche, Ahi poke, Fish tacos (Rubios fresh Mex grill in SoCal's are better though),",Ribio's is a Mexican restaurant,Rubio's is in SoCal
Have had it in CA and NV and The Cupboard still my fav place to go for a good east coast style Italian Hoagi.,The Cupboard is an Italian restaurant,The Cupboard is in CA and NV
"Su's is a Japanese restaurant located in Central Scottsdale that features ""Sushi and Robata""",Su's is a Japanese restaurant,Su's is in Central Scottsdale
"If you want better Japanese Restaurants, I'd recommend shuseki in Chinatown, RA at the Fashion Show Mall and Go Wild Sushi and Grill along Sahara to name a few.","Susheki, RA, and Go Wild Sushi are Japanese restaurants","Susheki is in Chinatown, RA is at the Fashon Show Mall, and Go Wild Sushi is along Sahara"
"Comparing to other neighborhood Italians, it edges out the nearby Girasole, and it eclipses Cucina Flegria in Squirrel Hill.",Girasole and Cucina Flegria are Italian restaurants,Cucina Flegria is in Squirrel Hill
"As a recent Bay Area transplant, I admit to being a bit picky, but in my 6 months in Phoenix, I've found several places that more than satisfy my rather frequent Thai cravings (Swadee in Chandler, Thai Lahna in Arcadia, Sala Thai in North Phoenix, and, in a pinch, Thai Hut in Central Phoenix).","Sawdee, Thai Lahna, Sala Thai, and Thai Hut are Thai restaurants","Sawdee is in Chandler, Thai Lahna is in Arcadia, SalaThai is in North Phoenix, and Thai Hut is in Central Phoenix"
We've passed by Indian Paradise on many occasions going to Costco and decided to check it out after an Indian friend told us that they dine there.,Indian Paradise is an Indian restaurant,
coming from the east coast i was looking for a good delivery chinese place and Red House is just awesome.,Red House is a chinese restaurant,
"Maybe China Spice serves Chinese food, Green Valley style (without spice).",China Spice is a Chinese restaurant,
"After major disappointments in Greek and Middle Eastern food in the Valley, I was thinking of keeping Pitta Souvli to myself.",Pitta Souvli is a Greek and Middle Eastern restaurant,Pitta Souvli is in the Valley
Pitta Souvli is without a doubt my favorite Greek restaurant in the Valley.,Pitta Souvli is a Greek restaurant,
"If you are in Tempe, this may be the closest decent Hawaiian food place that I am aware of, but if you are up for a ten minute drive, go to Ono Hawaiian BBQ on Thomas.\n\nThe Kastu here was decent, but left me wanting my old favorite Ma'i Island (RIP).",Ono Hawaiian BBQ is a Hawaiian food place,Ono Hawaiian BBQ is in Tempe
A little taste of Southern California all the way up in Vegas! This 99 Ranch is pretty much the same as most you'll find in the Socal/Norcal area.,,"99 Ranch is in Socal, Norcal and in Vegas"
"We purchased a Groupon for The Dhaba, as avid Indian food lovers, we figured we would make the drive out to the east valley and give it a shot.",The Dhaba is an Indian restaurant,The Dhaba is in the east valley
"For the most part, it is the same as all any other Old Navy store I've been to in North America, with the same set-up and the same merchandise.\n\nCame here to get some Canadian-themed clothing, as I heard they had a lot of stuff with maple leafs, and shirts that said \""Montreal\"" on them, but was disappointed that there was nothing except a few humongous XXL men's shirts with these motifs in the clearance section.""",,Old Navy is in North America
"The is easily the best supermarket on the island of Montreal.\nIranian/Persian in ownership, Akhavan carries speacilties from throughout the Middle East, Near east",Akhavan is a Iranian/Persian supermarket,Akhavan is on the island of Montreal
"Restaurant Chez Parra is a great little French restaurant in Longueuil, Quebec, which is a suburb of Montreal on the South Shore, just across the waters form that thriving international city.\n\nIt is long and narrow, with a Salon Prive (private room) in the rear, which our party of 6 occupied, amidst original art decorating the walls.",Chez Parra is a French restaurant,"Chez Parra is in Longueuil, Quebec"
"Out of the many Chinese restaurants in Waterloo, Jia Jia Lok (JJL) is one of the few that does not specialize in Northern or Szechuan Chinese cuisine.",Jia Jia Lok is a Chinese restaurant,Jia Jia Lok is in Waterloo
"My husband is hard to impress since he loves Southern California Mexican spots, but he really liked the food at Zapata's, we will be visiting this place more often.",Zapata's is a Mexican restaurant,
"Go to G-mart, or Oriental Market on Central Ave.",,Oriental Market is on Central Ave
"While I didn't get to experience the pool \""scene\"" myself this is obviously the place to be.\n\nI've stayed a few other hotels in Scottsdale (Firesky, Valley Ho and my favorite Montelucia).",,"Firesky, Valley Ho, and Montelucia are in Scottsdale"
"So, I'm in Surprise, AZ on my way to raise some trouble in NY, when my buddy PRS brings me here, the Scottish Hooters.\n\nBrilliant place, I like the atmosphere and two guys across the way were kind enough to help us out more than the waitress or waiter I watched walk by.",,"Scottish Hooters is in Surprise, AZ"
"Given the growing popularity of Indian cuisine, I am surprised that the Bombay Grill conglomerate (Green Street location, First Street location, Bombay Bazaar) have such a monopoly on Indian food in this town.",Bombay Grill and Bombay Bazaar are Indian restaurants,"Bombay Grill is on Green Street, Bombay Bazaar is on First Street"
"I decided to take a nice walk around Old Montreal and came across a cute little Tea House on Rue Saint Suplice called Ming Tao Xuan. With an air of Buddhist serenity, it feels like you are stepping into a tea house somewhere in a Chinese village and not off the street in old Montreal.",Ming Tao Xuan is a Chinese Tea House,Ming Tao Xuan is in Montreal
"I've never actually been to the original Dean & Deluca in New York City, I've been to their Napa Valley location several times and it is quite and impressive store: a colorful aisle with fresh vegetables and fruits, an aromatic display of various cheeses, and a beautiful display of breads and pastries it makes my mouth water just thinking about it. This Charlotte location is tiny in comparison, but they made me a beautiful Italian sandwich to go",Dean & Deluca is an Italian restaurant,"Dean & Delucia is in New York City, Napa Valley, and Charlotte"
"When Villa Antonio first opened in its South Blvd location, there were not many options for \""upscale\"" Italian food in the Charlotte area, so it was my favorite place for many, many years.",Villa Antonio is an Italian restaurant,Villa Antonio is on South Blvd in Charlotte
"Maison Bleue is a nice eatery set over two levels in a charming, old and (as the name would suggest) blue building on Victoria Street.\n\nThe food is French in style with a Scottish twist, meaning you'll find both haggis and snails on the menu.",Maison Bleue is a French and Scottish restaurant,Maison Bleue is on Victoria Street
"Located in the centre of the Bruntsfield area of Edinburgh, Italian Connection should be the Italian place that every student living in the area goes to for their lunch or dinner, but it is rather disappointing.",Italian Connection is an Italian place,Italian Connection is in the Bruntsfield area of Edinburgh
"Firstly, I have to say - the Silver Bowl is one of the cheapest Thai/ Chinese restaurants I know of - a really decent meal for two, with all the trimmings will set you back only around \u00a312 - which in my opinion, and when you consider how awesome the food is, is one of the best damn deals around.\n\nI always opt for the same thing here, the red thai curry - its amazing",Silver Bowl is a Thai / Chinese restaurant,
"a huge discount).\n\nI find the Noodle Exchange much better than Ping Pang Pong, the Chinese place in Gold Coast which some have said is a Vegas must-do.",Noodle Exchange and Ping Pang Pong are Chinese places,Noodle Exchange and Ping Pang Pong are in Vegas
"Well I ran into and had 2 choices on the way to school on E. Desert Inn and Eastern area, Jun's Korean BBQ or Elena's Filipino Food.","Jun's serves Korean BBQ, Elena's serves Filipino food",Jun's and Elena's are in the Eastern area
My personal favorite Thai place is Thai Style Noodle House on Spring Mountain or Fort Apache,Thai Style Noodle House is a Thai place,Thai Style Noodle House is on Spring Mountain
"Quite a few Irish Pubs have sprung up in the West Valley; one by the Peoria Spots Complex, The Auld Dubliner, and most recently one at West Gate.",The Auld Dubliner is an Irish Pub,The Auld Dubliner is in the West Valley
Arriba's is a very unique New Mexican cuisine ... different than typical Mexican fare in the Valley.,Arriba's is a Mexican restaurant,Arriba's is in the Valley
I'll stick with Siena Deli on West Sahara for my Italian deli fix.,Siena Deli is an Italian deli,Siena Deli is on West Sahara
"One of my girl friends requested that we dine at The Cosmopolitan on our Vegas getaway, so I picked Scarpetta because it was spendy but not quite a splurge like the others.\n\nAs far as Italian food goes, Scarpetta was scrumptious, though overpriced like everything on the Strip.",Scarpetta is an italian restaurant,Scarpetta is in Vegas
"a lot.\n\nThe pricing at Hakkasan makes it hard place to wholeheartedly recommend, but unlike other Asian restaurants on the Strip you'll actually end up with a good meal if you decide to spend the money here.",Hakkasan is an Asian restaurant,Hakkasan is on the Strip
Hanam's is situated on Victoria Terrace off the Royal Mile and serves Middle Eastern and Kurdish style food.,Hanam's is a Middle Eastern and Kurdish restaurant,Hanam's is on Victoria Terrace
"There are better Chinese restaurants that are not that far away such as Golden Taipei at Davis Lakes on Harris Blvd or if you really want a buffet that's offered every day, the Lotus buffet in the University Area.",Golden Taipei and Lotus buffet are Chinese restaurants,Golden Taipei is at Davis Lakes and Lotus buffet is in the University area
From the coattails of Pinkberry arrives yet another berrified ripoff by the name of Blizzberry located in the Palms casino.,,Blizzberry is in the Palms casino
"This is one of my favorite lunch places-rivals Pita Jungle, especially when I want to mix up my mediterranean with french fries.",Pita Jungle is a mediterranean restaurant,
"Ever since experiencing Authentic Thai Beef Noodle Soup in Bangkok, we have been searching for the real deal in Las Vegas.\n\nFinally, our older Thai friend told us about Corner Thai Kitchen and mentioned that they have the Thai Beef Noodle Soup and alone it deserves 5 stars!!",Corner Thai Kitchen is a Thai restaurant,Corner Thai Kitchen is in Vegas
The sad thing is that every Japanese resident of Clark County would rather shop at Greenland Market than Nakata or Japan Creek.,Nakata and Japan Creek are Japanese places,"Greenland Market, Nakata, and Japan Creek are in Clark County"
Harvest is the gold standard for American Chinese in the southeast valley.,Harvest is an American Chinese restaurant,Harvest is in the southeast valley
"Blossom is the Chinese restaurant located inside Aria, in City Center.",Blossom is a Chinese restaurant,Blossom is in City Center
"As for now, razzy fresh is the best of what pittsburgh has to offer in the asian froyo business (to my knowledge), and given it's relatively prime location in squirrel hill, they definitely will be staying for the time being.",razzy fresh is an asian restaurant,razzy fresh is in pittsburg
"The Chapel Shelter is a remnant of a former Presbytarian church, restored by the Pittsburgh Parks Conservacy in 2008.",,The Chapel Shelter is in Pittsburgh
"If I was basing this review on the look of restaurant alone, with its tall ceilings and long family-style tables, it would certainly get a 5 star rating!\n\nHOWEVER, Mijana is probably the most over-priced and over-rated restaurant in the entire area!\n\nWith Middle Eastern and Mediterranean food not as popular as Italian and Asian fare, many of Mijana's close competitors shut their doors in response to these tough financial times and I can only guess that this lack of options/alternatives is responsible for Mijana receiving any positive reviews at all!\n\nI have eaten here 4 times.",Mijana is a Middle Eastern and Mediterranean restaurant,
"but I will say that if \""real\"" Hawaiian food tastes as good if not better than L&L I may become an Island local someday.",L&L is a Hawaiian restaurant,
I'd suggest spending the extra couple of bucks on food at Border Grill in Mandalay Bay for more upscale and flavorful Mexican cuisine.,Border Grill is a Mexican restaurant,Border Grill is in Mandalay Bay
"My Hubby & I have never had French cuisine before, so when I saw that Groupon was running a deal for Le Chalet",Le Chalet is a french restaurant,
"And since my stays in Vegas usually find me staying off-Strip at one of the Marriott properties on Paradise Road, fulfilling that need would take me to D & B Chinese on Vegas`s eastside.\n\nI",D & B Chinese is a Chinese restaurant,D & B Chinese is on Vegas's eastside
"Despite the amount of years I've lived in Edinburgh, I always find myself peering into various shop windows, swivelling my eyes everywhere like a child in a sweetie shop, and I always manage to encounter something new.\n\nCheck out the Word of Mouth cafe, the brilliant Elvis Shakespeare music and books store, La Favorita for pizza, the Victoria bar for some Swedish cider, and the variety of other establishments that give this street its colour, and feeling of community.",,"Word of Mouth caf_, Elivs Shakespeare, La Favorita, and Victoria bar are in Edinburgh"
"We're somewhat short on Mexican Buffets here in the Valley, especially after having lost Tradiciones, Camarones, two Pancho's, & just this month, Julio's Too in Mesa.","Tradiciones, Camarones, Pancho's, and Julio's are Mexican Buffets","Tradiciones, Camarones, Pancho's and Julio's are in the Valley"
I only wish I had found Maui Dog on Yelp sooner instead of catching it on a random drive down E Indian,,Maui Dog is on E Indian
"Until now, the ONLY Scandinavian restaurant in the Valley was IKEA's cafe.",IKEA's caf_ is a Scandinavian restaurant,IKEA's caf_ is in the Valley
\n\nI wasn't a a great fan of Tava (the Indian restaurant that occupied the premises before Jai Ho),Tava is an Indian restaurant,
"Tried the Pad Thai here (Which i have had many places, including the Thai Budda Temple, and it is one of the BEST)!",Thai Budda Temple is a Thai restaurant,
"I grew up just outside \""Eden Center\"" in Northern Virginia, which is the Vietnamese hub of the East Coast.",,Eden Center is on the East Coast
"Amongst all the tire shops and barber shops that smatter that stretch of The Plaza and next to the Food Lion is the very unassuming China Bowl.\n\nDo not be intimidated by the neighborhood, the bright orange exterior, or the bars on the front windows, the China Bowl is a gem!\n\nThis is AMAZING Chinese takeout!",China Bowl is a Chinese restaurant,China Bowl is in The Plaza
"Saffron Flavors of India, not to be confused with plain old Saffron on East DI, is the first Indian Chinese fusion restaurant I've seen.",Saffron Flavors of India is an Indian Chinese fusion restaurnt,Saffron is on East DI
"While Fuego may not have the most \""authentic\"" mexican food in the valley, they do, in my opinion, have the tastiest Mexico/SoCal/Baja fusion.\n\nService is always quick and friendly, the complimentary tortillas and salsa are top-notch, and seem house-made, and every entree I've tried is full of flavor and very well plated.",Fuego is a Mexican restaurant,Fuego is in the valley
You Mid-Westeners need to come to Southern California or Nevada and try what a regular burger is all about at INNO.,,INNO is in Southern California and Nevada
"There are certain DOs and DON'Ts when planning a trip to Jose Andres' Chinese/Mexican restaurant China Poblano, located inside The Cosmopolitan of Las Vegas.\n\nDO: pronounce the name right.\nIt's China, like Chee-nah, Poh-blah-no.",China Poblano is a Chinese/Mexican restaurant,China Poblano is in Las Vegas
"you REALLY must have Chinese and Mexican on the same plate on the Las Vegas Strip, there's a Panda Express that shares the same space with Chipotle next to Harrah's.","Panda Express is a Chinese restaurant, Chipotle is a Mexican restaurant",
"I know there are a couple more Hawaiian BBQ places in the Valley, but Leo's is pretty much on point as far as capturing island flavors and plate lunches.",Leo's is a Hawaiian restaurant,Leo's is in the Valley
"Let me start off by saying I have mostly simple tastes, and my favorite lunch spot for Chinese has been the New Dumpling House in Squirrel Hill.",New Dumpling House is a Chinese restaurant,
The name is ABC Garden and this is the best Chinese food I've had in Pittsburgh.,ABC Garden is a Chinese restaurant,
"\n\nMax's Allegheny Tavern bills itself on their web site as, \""""The Best in German Fare.",Max's Allegheny Tavern is a German restaurant,
"I'm not in love with their potato pancakes, but being that Max's specializes in German food, you've got to try at least one with their homemade applesauce.\n\nSome of my rotating favorites on the buffet include red cabbage, Eggs Benedict, and the Farmer's Breakfast.",Max's is a German restaurant,
Sam Bok is the perfect venue to get anything Korean cuisine related and has some wonderful Ahjummas (ladies) who will let you try out you newly mastered though limited skills at speaking Korean.,Sam Bok is a Korean restaurant,
"I encourage you to try the Korean BBQ, especially as the reviews for the Korean food at Kim's on Yelp are not that bad.",Kim's is a Korean restaurant,
"And, that was a long sentence, but not as long as those of some really antiquated authors I've read.\n\nIn any case, the Macaroni Company is a little slice of Italy mixed with Pittsburgherness and fun.",The Macaroni Company is an Italian restaurant,
"At the very least, there are Italian restaurants in Pittsburgh that offer much better food for a similar price.\n\nThe one positive to Lidia's was the dessert - which was fantastic.",Lidia's is an Italian restaurant,
People's Restaurant easily wins the top slot on Kelly G's list of the best Indian food in Pittsburgh.,People's Restaurant is an Indian restaurant,
